q_hip,q_thigh,q_calf,determinant,condition_number,rank,fd_jacobian_error,fd_spatial_jacobian_error,fd_body_jacobian_error,spatial_to_point_jacobian_error
0.082801926365068,3.814372678207188,-1.0129423001031876,0.011706418209044285,4.707006631270496,3,7.1718328984566e-11,1.8057021389171742e-10,1.6599422657700416e-10,8.356435054000469e-17
0.6019293082646472,0.8987239720847817,-2.219839812049476,-0.0055428791580603605,1.9710483170114905,3,3.5336436376580664e-11,1.8142409865332266e-10,1.59504621471872e-10,3.4170089680666066e-17
0.04786918750869362,2.378762710551311,-2.4106398029129474,-0.0014772648487555984,4.66488214903206,3,3.026712853650723e-11,1.8530517223756065e-10,1.8634673183498412e-10,7.153269818152687e-18
0.09548237798071524,1.251130127556145,-2.6935699668722433,-0.0015326196683125585,2.885372066624749,3,2.9995846258579754e-11,1.7319788647982283e-10,1.6153926011320642e-10,2.0581572929742748e-17
-0.13033525038649774,1.046668157328606,-0.9814736152841603,-0.00996472778074175,4.944618969625853,3,4.7962127184497325e-11,1.2507392710552655e-10,1.2465532325559352e-10,5.551115123125783e-17
-0.7153168644756105,3.814658111107268,-1.0795107824443273,0.011994637166969387,4.372225336829356,3,5.087895596422746e-11,1.8648149657234526e-10,1.7372822709680368e-10,6.655553224256149e-17
0.1602495521503664,-0.0668685511614211,-1.2878253611713761,-0.009311847004858745,3.613249061064307,3,2.6892422692752372e-11,7.27958858678776e-11,7.119059800024429e-11,9.813077866773595e-18
-0.5434956070797667,0.631671576874038,-1.5101434320814988,-0.011541696002751421,2.934553253879391,3,4.651761967169983e-11,1.0301721783157042e-10,9.158061079425789e-11,6.378500613402836e-17
-0.1200498951414819,1.3662012351161414,-2.156842337464104,-0.006042291009468058,1.992618277789593,3,3.267436149739225e-11,1.4275463999554782e-10,1.547967001473653e-10,8.673617379884035e-19
-0.7430594462062834,0.8417799849527328,-1.2249508917391723,-0.011994084770078156,3.77261463876533,3,2.2528864541358594e-11,1.1649851530856863e-10,8.526638928179674e-11,2.8609792490763984e-17
0.5301416433234095,-0.6227578376645284,-1.7120974050364524,-0.0009537203767141603,13.597610548129918,3,1.810059495334384e-11,1.373287809203153e-10,1.415438920464541e-10,3.469446951953614e-17
-0.23476491845552172,1.0417460868537973,-0.9378485515783412,-0.009671069274203647,5.205838350743356,3,5.590481448750142e-11,1.240339687253623e-10,1.3158506737797696e-10,2.7755575615628914e-17
0.49653949930864527,1.6073391213027324,-1.7930976546687099,-0.0073838142346383424,2.473259619613279,3,3.659354821766878e-11,1.2604495168165804e-10,1.226795572350042e-10,3.925231146709438e-17
0.6695492518980465,0.9170472924589008,-1.304564456923565,-0.011839776779654006,3.4982902824179307,3,2.5536152043057215e-11,1.1330702605662147e-10,8.67390137159994e-11,9.813077866773595e-18
0.3686153859788931,2.8135205447033926,-1.8853788602605295,0.0026423765626016624,4.366425021823937,3,5.0469849574643546e-11,1.9244652615140284e-10,1.4116100168799513e-10,2.7755575615628914e-17
0.2975907256934883,3.3368996276620937,-2.1701304656311224,0.0038832461162235563,2.3235153543373346,3,4.767597868917574e-11,2.0275064352741006e-10,2.149538879836415e-10,2.0816681711721685e-17
0.4225684699735578,1.4765660084477856,-1.745327927584547,-0.008336922093490672,2.496673115896244,3,3.504779643666341e-11,1.3518943148455673e-10,1.3553086438528145e-10,3.469446951953614e-18
-0.0564844062879617,0.9156556671591081,-1.3573472596132488,-0.011831663654648519,3.3273025078124294,3,5.4410295879275496e-11,1.2874936710184428e-10,1.3883837439549215e-10,5.721958498152797e-17
-0.17362895252516763,-0.09792727330237494,-1.2941741618519076,-0.009026901291930562,3.5916421582249396,3,4.099277164575679e-11,1.0777493291215045e-10,1.1634649377616901e-10,2.943923360032078e-17
-0.1610638991746135,1.9851701164443303,-0.9477371553240328,-0.0006874604941018411,20.00722770801661,3,2.2410478119525878e-11,7.071981384487026e-11,7.589852155117858e-11,5.763878168445254e-17
0.2370458779228254,1.6985312555386205,-2.191303600878004,-0.004905172884395477,2.124029770338134,3,3.73145471735325e-11,1.7940740978166505e-10,1.8705800619502574e-10,4.1777673608052095e-17
0.33565703426622673,3.981511657960211,-1.4355910789018975,0.011853185721916239,3.096140750518568,3,3.869660921911379e-11,1.5877892835785552e-10,1.407354921298151e-10,6.800912535878896e-17
0.4333686844735799,0.6187419215571153,-2.1387758319999364,-0.005835844339892653,1.9883958182772474,3,3.3721396967774006e-11,1.6212388901064723e-10,1.8231536607455622e-10,1.5515838457795457e-17
-0.22863039092661996,1.4598240656836734,-1.1063081443525877,-0.007502202902320581,4.387678794647373,3,2.760187478993629e-11,1.2822199792711828e-10,1.1438240167300854e-10,6.206335383118183e-17
-0.05404462455591996,-0.12351202213309664,-1.747417569852562,-0.005487163572984061,2.5394349448947557,3,2.985984192744445e-11,9.542530679388656e-11,1.0584901875883917e-10,4.443059973708341e-17
-0.38588372292470857,2.2823804807009385,-2.093613371708405,-0.0022818071671890836,4.358792779802828,3,4.722983642578132e-11,2.305255384459567e-10,2.3168774225381123e-10,1.734723475976807e-18
