time,q1,q2,dq1,dq2,ddq1,ddq2,tau1,tau2,inertia1,inertia2,coriolis1,coriolis2,gravity1,gravity2,tau_model1,tau_model2,residual1,residual2,residual_norm
1.862,9.166663490363,-14.298324879050435,8.68515102616178,-20.618940644624942,-9.823229818232884,110.1279813144775,-0.7845344433207487,0.29316505960138145,0.20540380061264532,0.4740597575967228,0.2195035388110655,-0.24718865146144356,-1.2094417827444595,0.06629395346610226,-0.7845344433207486,0.2931650596013815,1.1102230246251565e-16,5.551115123125783e-17,1.2412670766236366e-16
1.863,9.175338818159343,-14.318833691713746,8.675327796343547,-20.508812663310465,-9.13813870658784,109.15358293795916,-0.7863085812505117,0.2952493176314782,0.21275364032360972,0.4729556393352716,0.21149791456263808,-0.24575571874626156,-1.2105601361367595,0.06804939704246822,-0.7863085812505117,0.29524931763147827,0.0,5.551115123125783e-17,5.551115123125783e-17
1.864,9.18400500781698,-14.339233350794117,8.66618965763696,-20.399659080372505,-8.455956911190997,108.19031362278078,-0.7880160664251336,0.29730708866296196,0.22007694304380485,0.47179481950321606,0.20351062041598308,-0.24426832683196717,-1.2116036298849215,0.06978059599171314,-0.7880160664251337,0.297307088662962,-1.1102230246251565e-16,5.551115123125783e-17,1.2412670766236366e-16
1.865,9.192662741517706,-14.359524819560868,8.657733700725768,-20.291468766749723,-7.777160526192149,107.23861325294375,-0.7896571433888651,0.29933841484813895,0.2273650182440999,0.47057914253346655,0.195550359744744,-0.2427283233746052,-1.212572521377709,0.07148759568927772,-0.7896571433888651,0.29933841484813906,0.0,1.1102230246251565e-16,1.1102230246251565e-16
1.866,9.201312698057906,-14.379709049714364,8.649956540199575,-20.18423015349678,-7.102206252938918,106.29884290005158,-0.791232024257114,0.3013433474922033,0.23460946030616636,0.46931033443351267,0.18762555117026872,-0.24113743758263695,-1.213467035733549,0.07317045064132763,-0.791232024257114,0.3013433474922034,0.0,5.551115123125783e-17,5.551115123125783e-17
1.867,9.209955552391852,-14.399786981024961,8.642854333946635,-20.07793131059673,-6.431532903771295,105.3712897759295,-0.792740888955471,0.3033219467322259,0.2418021405305414,0.46799000711439415,0.17974433655329766,-0.23949728454587882,-1.21428736603931,0.0748292241637106,-0.792740888955471,0.3033219467322259,0.0,0.0,0.0
1.868,9.218591975192895,-14.419759541045782,8.636422801042864,-19.972560020820797,-5.765562790253814,104.45617193479781,-0.7941838854858244,0.3052742812308229,0.24893519967802924,0.46661966270418387,0.171914588452307,-0.2378093695489545,-1.2150336736161607,0.07646398807559358,-0.7941838854858244,0.30527428123082295,0.0,5.551115123125783e-17,5.551115123125783e-17
1.869,9.227222632431149,-14.439627644894667,8.63065723825261,-19.868103848886,-5.10470299856493,103.55364273599893,-0.7955611302186778,0.30720042788360036,0.25600104104667043,0.46520069783684714,0.16414391704628128,-0.23607509236012278,-1.2157060883116295,0.07807482240687592,-0.7955611302186778,0.3072004278836003,0.0,-5.551115123125783e-17,5.551115123125783e-17
1.87,9.235848184966402,-14.459392195100817,8.625552535254045,-19.764550206150002,-4.44934655503384,102.66379507867947,-0.7968727082109571,0.30910047153948095,0.2629923240818791,0.46373440790895615,0.1564396765243159,-0.23429575148796086,-1.2163047088171521,0.07966181511848569,-0.7968727082109571,0.30910047153948095,0.0,0.0,0.0
1.871,9.2444692881551,-14.479054081511888,8.62110318869901,-19.661886411071322,-3.7998734850346456,101.78666542005182,-0.7981186735486878,0.3109745047330581,0.2699019585132041,0.46222199129814956,0.14880897094859225,-0.2324725483997942,-1.2168296030104842,0.08122506183470282,-0.7981186735486878,0.3109745047330582,0.0,1.1102230246251565e-16,1.1102230246251565e-16
1.872,9.253086591470314,-14.49861418125754,8.617303315213976,-19.56009974565127,-3.156651768626667,100.92223758892982,-0.7992990497140424,0.3128226274281406,0.2767230990074765,0.46066455353845104,0.14125865960096304,-0.23060659169698366,-1.217280808322482,0.08276466558667304,-0.7992990497140424,0.31282262742814043,0.0,-1.6653345369377348e-16,1.6653345369377348e-16
1.873,9.26170073813376,-14.518073358765603,8.614146663445348,-19.459177508062343,-2.520038196474116,100.0704464061729,-0.8004138299763439,0.3146449467716827,0.2834491403248027,0.45906311144860634,0.1337953618266898,-0.2286989012432318,-1.2176583321278365,0.08428073656630818,-0.800413829976344,0.3146449467716827,-1.1102230246251565e-16,0.0,1.1102230246251565e-16
1.874,9.27031236475901,-14.53743246582726,8.611626625248874,-19.35910706165617,-1.8903791296957528,99.23118112350396,-0.8014629778067109,0.31644157685732277,0.29007371296092366,0.4574185972104943,0.1264254613918106,-0.22675041224296555,-1.2179621521594453,0.08577339188979402,-0.801462977806711,0.31644157685732277,-1.1102230246251565e-16,0.0,1.1102230246251565e-16
1.875,9.27892210100513,-14.556692341707793,8.609736246119178,-19.259875880532668,-1.268011167389505,98.40428869190453,-0.802446427316075,0.31821263849778203,0.2965906792568622,0.4557318623954203,0.1191551103732167,-0.22476197926759878,-1.2181922169461539,0.08724275536996046,-0.802446427316075,0.318212638497782,0.0,-5.551115123125783e-17,5.551115123125783e-17
1.8760000000000001,9.287530569240081,-14.575853813299634,8.608468234951788,-19.161471591840765,-0.6532617256536538,97.58957687045194,-0.8033640837163813,0.31995825900541247,0.3029941299544836,0.4540036819367154,0.11199023260281347,-0.2227343802281009,-1.2183484462736784,0.088688957296798,-0.8033640837163813,0.3199582590054125,0.0,5.551115123125783e-17,5.551115123125783e-17
1.877,9.296138384213307,-14.594917695314605,8.607814973226134,-19.063882014970314,-0.04644953198922629,96.78681718606076,-0.8042158238048305,0.3216785719802,0.3092783811745752,0.45223475804756935,0.10493652668915841,-0.22066832029280273,-1.218430731668564,0.09011213422543335,-0.8042158238048305,0.3216785719802,0.0,0.0,0.0
